,FTR,season_period,xg1_5g_avg,xg2_5g_avg,gd_5g_avg,elo_diff,game1_D,game1_H,game2_D,game2_H,game3_D,game3_H,game4_D,game4_H,game5_D,game5_H
172,0,1,2.5680000000000005,0.5119999999999999,0.4,200.07055664000018,0,1,1,0,1,0,1,0,0,0
224,1,1,1.064,0.9940000000000001,0.0,-211.19567871000004,0,0,0,0,0,1,0,0,0,1
550,2,1,1.594,0.844,1.0,-56.384277339999926,1,0,0,1,0,1,0,0,0,1
753,1,1,1.232,1.474,0.0,-249.86474609000015,0,0,1,0,0,0,0,1,0,1
616,0,1,2.58,0.9819999999999999,1.8,246.9067382300002,0,1,0,1,1,0,0,1,0,1
720,0,1,1.3379999999999999,1.7120000000000002,0.8,21.582763670000077,0,1,1,0,0,0,0,1,0,1
767,0,1,0.9980000000000002,1.576,-1.2,26.14135741999985,0,0,1,0,0,1,1,0,0,0
55,1,1,1.128,1.504,-0.4,-242.17126465,0,0,0,0,0,0,0,1,0,0
225,0,1,1.034,1.1560000000000001,-0.4,-36.5185546900002,0,0,0,1,0,0,0,1,0,0
551,2,1,1.438,0.916,1.0,-69.90856933000009,0,1,0,1,0,0,0,1,1,0
754,0,1,1.01,1.428,0.0,-29.379516599999988,1,0,0,0,0,1,0,1,0,0
721,1,1,1.288,1.448,0.8,-115.11560058000009,1,0,0,0,0,1,0,1,0,1
768,0,1,1.2,1.33,-0.4,103.00573767000014,1,0,0,1,1,0,0,0,0,1
343,1,1,1.834,1.064,1.2,-91.64343261999988,0,1,1,0,0,0,0,1,0,1
173,0,1,2.298,0.568,0.0,-30.915283199999976,1,0,1,0,1,0,0,0,0,1
617,0,1,2.556,0.89,2.2,188.01086426000006,0,1,1,0,0,1,0,1,0,1
107,1,1,1.56,0.9800000000000001,0.6,-127.84082031000003,1,0,0,1,1,0,1,0,0,1
291,0,1,1.9440000000000002,1.7240000000000002,1.0,202.5093994099998,0,1,1,0,1,0,0,1,0,1
4,0,1,1.262,1.746,0.2,5.488159180000139,0,0,0,1,0,1,0,0,0,1
395,0,1,1.67,0.44800000000000006,2.8,242.46215819999998,0,1,0,1,0,1,0,1,0,1
159,1,1,0.8600000000000001,1.6740000000000002,-0.6,-298.90698197999996,0,0,0,0,0,1,1,0,1,0
499,1,1,1.3219999999999998,1.138,0.6,47.48742674999994,1,0,0,1,0,0,1,0,0,1
447,0,1,2.0159999999999996,0.6900000000000002,0.2,185.55712891000007,1,0,1,0,1,0,1,0,0,1
584,1,1,1.9740000000000002,1.3800000000000001,0.2,-38.358886710000206,0,0,1,0,0,0,0,1,0,1
669,2,1,1.1520000000000001,0.998,0.4,11.052978510000003,1,0,0,1,0,1,0,0,0,1
819,0,1,2.19,0.718,1.6,162.73486328000013,1,0,0,1,0,1,0,1,1,0
239,1,1,1.954,1.0399999999999998,0.4,-73.02319335999982,0,1,0,0,1,0,0,1,0,1
160,2,1,0.9059999999999999,1.6919999999999997,-0.8,-162.6405034200002,0,0,0,1,1,0,1,0,0,0
5,0,1,1.1939999999999997,1.598,0.6,14.446533199999976,0,1,0,1,0,0,0,1,0,1
