,team1,team2,HomeWin,Draw,AwayWin,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,FTR
33,Sunderland,Leicester City,0.324,0.154,0.521,0.29411764705882354,0.29411764705882354,0.4347826086956522,0.30303030303030304,0.3076923076923077,0.4347826086956522,0.3389830508474576,0.30303030303030304,0.4166666666666667,0.2949852507374631,0.29069767441860467,0.4347826086956522,0.29411764705882354,0.3125,0.4347826086956522,0.29411764705882354,0.29411764705882354,0.4347826086956522,0.29154518950437314,0.2840909090909091,0.4444444444444444,0
34,Tottenham Hotspur,Swansea City,0.258,0.205,0.537,0.7352941176470588,0.18181818181818182,0.1111111111111111,0.7462686567164178,0.2,0.10256410256410256,0.7407407407407407,0.18867924528301888,0.125,0.7352941176470588,0.18348623853211007,0.10373443983402489,0.7352941176470588,0.2,0.10526315789473684,0.7518796992481203,0.18181818181818182,0.1,0.7352941176470588,0.1763668430335097,0.10683760683760685,0
35,WestBrom,Watford,0.49200000000000005,0.38,0.128,0.45454545454545453,0.30303030303030304,0.26666666666666666,0.46511627906976744,0.3076923076923077,0.2777777777777778,0.47619047619047616,0.30303030303030304,0.2777777777777778,0.4629629629629629,0.3003003003003003,0.2570694087403599,0.45454545454545453,0.3125,0.2777777777777778,0.45454545454545453,0.30303030303030304,0.2631578947368421,0.47619047619047616,0.2958579881656805,0.24813895781637715,0
36,WestHam,Arsenal,0.36700000000000005,0.127,0.507,0.21052631578947367,0.23809523809523808,0.5714285714285714,0.21052631578947367,0.25,0.5714285714285714,0.20833333333333334,0.2777777777777778,0.5714285714285714,0.19685039370078738,0.24390243902439027,0.5813953488372093,0.20833333333333334,0.2631578947368421,0.5714285714285714,0.2,0.25,0.5714285714285714,0.17953321364452424,0.22675736961451246,0.6134969325153374,1
37,Bournemouth,Liverpool,0.392,0.124,0.483,0.2,0.25,0.5714285714285714,0.2,0.2631578947368421,0.5882352941176471,0.20833333333333334,0.2777777777777778,0.5714285714285714,0.2159827213822894,0.24937655860349128,0.5555555555555556,0.20833333333333334,0.2631578947368421,0.5714285714285714,0.2173913043478261,0.25,0.5555555555555556,0.19920318725099603,0.2469135802469136,0.5747126436781609,0
38,Everton,ManUtd,0.8220000000000001,0.084,0.094,0.2777777777777778,0.2857142857142857,0.46511627906976744,0.27027027027027023,0.2857142857142857,0.47619047619047616,0.2857142857142857,0.29411764705882354,0.47619047619047616,0.273972602739726,0.2857142857142857,0.4608294930875576,0.2777777777777778,0.30303030303030304,0.45454545454545453,0.27027027027027023,0.29411764705882354,0.46511627906976744,0.23255813953488372,0.27322404371584696,0.5154639175257733,2
39,Middlesbrough,HullCity,0.54,0.235,0.225,0.5464480874316939,0.2857142857142857,0.19047619047619047,0.5714285714285714,0.2777777777777778,0.2,0.5405405405405405,0.2857142857142857,0.23255813953488372,0.5555555555555556,0.2801120448179272,0.18518518518518517,0.5464480874316939,0.29411764705882354,0.2,0.5555555555555556,0.2857142857142857,0.18518518518518517,0.5208333333333334,0.2958579881656805,0.20283975659229211,0
40,Arsenal,Stoke City,0.583,0.325,0.092,0.7407407407407407,0.18181818181818182,0.10526315789473684,0.7407407407407407,0.2,0.1111111111111111,0.7142857142857143,0.20833333333333334,0.13333333333333333,0.7246376811594204,0.1890359168241966,0.10857763300760043,0.7352941176470588,0.2,0.1111111111111111,0.7518796992481203,0.18181818181818182,0.10526315789473684,0.7575757575757576,0.16666666666666666,0.09523809523809523,0
41,Burnley,Bournemouth,0.754,0.10300000000000001,0.142,0.2857142857142857,0.2857142857142857,0.45454545454545453,0.29411764705882354,0.29411764705882354,0.46511627906976744,0.3389830508474576,0.30303030303030304,0.4166666666666667,0.28735632183908044,0.2898550724637681,0.4424778761061947,0.30303030303030304,0.30303030303030304,0.4347826086956522,0.29411764705882354,0.29411764705882354,0.4347826086956522,0.2824858757062147,0.3125,0.425531914893617,0
42,HullCity,Crystal Palace,0.493,0.25,0.257,0.2857142857142857,0.30303030303030304,0.4347826086956522,0.30303030303030304,0.3076923076923077,0.4347826086956522,0.3508771929824561,0.30303030303030304,0.4,0.29154518950437314,0.29673590504451036,0.4310344827586207,0.30303030303030304,0.3125,0.42016806722689076,0.29411764705882354,0.29411764705882354,0.4347826086956522,0.29411764705882354,0.30120481927710846,0.425531914893617,2
43,Leicester City,ManCity,0.611,0.281,0.109,0.19047619047619047,0.25,0.5882352941176471,0.21052631578947367,0.25,0.5882352941176471,0.20833333333333334,0.2777777777777778,0.5714285714285714,0.1893939393939394,0.24390243902439027,0.5882352941176471,0.2,0.2631578947368421,0.5780346820809249,0.19047619047619047,0.25,0.5882352941176471,0.20876826722338204,0.24271844660194175,0.5681818181818182,0
44,Swansea City,Sunderland,0.742,0.14400000000000002,0.114,0.46511627906976744,0.2857142857142857,0.2777777777777778,0.46511627906976744,0.30303030303030304,0.2777777777777778,0.45454545454545453,0.29850746268656714,0.30303030303030304,0.4672897196261682,0.28169014084507044,0.2717391304347826,0.45454545454545453,0.30303030303030304,0.2777777777777778,0.45454545454545453,0.2857142857142857,0.2857142857142857,0.46511627906976744,0.27322404371584696,0.28169014084507044,0
45,Watford,Everton,0.366,0.306,0.32799999999999996,0.3225806451612903,0.29411764705882354,0.4081632653061224,0.3333333333333333,0.30303030303030304,0.4166666666666667,0.3389830508474576,0.30303030303030304,0.4166666666666667,0.31746031746031744,0.2949852507374631,0.4081632653061224,0.3333333333333333,0.30303030303030304,0.4,0.3225806451612903,0.30303030303030304,0.4,0.2958579881656805,0.2949852507374631,0.4291845493562232,0
46,Chelsea,WestBrom,0.525,0.205,0.27,0.8,0.16,0.06666666666666667,0.7936507936507936,0.16,0.09523809523809523,0.7692307692307692,0.18181818181818182,0.10526315789473684,0.7874015748031495,0.16,0.06983240223463687,0.7751937984496123,0.18181818181818182,0.07692307692307693,0.7751937984496123,0.16666666666666666,0.07692307692307693,0.7874015748031495,0.15873015873015872,0.07692307692307693,0
47,Liverpool,WestHam,0.28,0.25,0.47,0.7692307692307692,0.16666666666666666,0.09090909090909091,0.7692307692307692,0.17391304347826086,0.1111111111111111,0.7692307692307692,0.18181818181818182,0.10526315789473684,0.7751937984496123,0.1589825119236884,0.08525149190110827,0.7692307692307692,0.18181818181818182,0.09090909090909091,0.7692307692307692,0.16666666666666666,0.09523809523809523,0.7633587786259541,0.15625,0.10030090270812436,2
48,ManUtd,Tottenham Hotspur,0.21,0.13,0.66,0.45454545454545453,0.29411764705882354,0.2777777777777778,0.46511627906976744,0.29411764705882354,0.29411764705882354,0.47619047619047616,0.29411764705882354,0.2857142857142857,0.4504504504504504,0.29673590504451036,0.2747252747252747,0.4444444444444444,0.3125,0.2857142857142857,0.45454545454545453,0.29411764705882354,0.2777777777777778,0.4587155963302752,0.2949852507374631,0.26666666666666666,0
49,Southampton,Middlesbrough,0.312,0.10300000000000001,0.585,0.5882352941176471,0.27027027027027023,0.16666666666666666,0.6060606060606061,0.27027027027027023,0.17391304347826086,0.5882352941176471,0.27027027027027023,0.2,0.5952380952380952,0.2717391304347826,0.1557632398753894,0.5780346820809249,0.29411764705882354,0.16666666666666666,0.5882352941176471,0.2777777777777778,0.16,0.6134969325153374,0.26595744680851063,0.1388888888888889,0
50,Bournemouth,Leicester City,0.809,0.128,0.062,0.4166666666666667,0.29411764705882354,0.3125,0.425531914893617,0.29411764705882354,0.3333333333333333,0.4166666666666667,0.30303030303030304,0.3389830508474576,0.4115226337448559,0.2881844380403458,0.3194888178913738,0.4166666666666667,0.30303030303030304,0.3225806451612903,0.4166666666666667,0.2857142857142857,0.3225806451612903,0.44052863436123346,0.28735632183908044,0.29239766081871343,0
51,Everton,Arsenal,0.606,0.226,0.16899999999999998,0.23809523809523808,0.26666666666666666,0.5235602094240838,0.23529411764705882,0.27027027027027023,0.5263157894736842,0.24390243902439027,0.2857142857142857,0.5263157894736842,0.2336448598130841,0.26525198938992045,0.5208333333333334,0.23809523809523808,0.2777777777777778,0.5235602094240838,0.23809523809523808,0.2631578947368421,0.5235602094240838,0.24154589371980678,0.2645502645502646,0.5154639175257733,0
52,Crystal Palace,ManUtd,0.34,0.215,0.445,0.19047619047619047,0.25,0.5882352941176471,0.18181818181818182,0.2631578947368421,0.6060606060606061,0.20833333333333334,0.2777777777777778,0.5714285714285714,0.1798561151079137,0.24509803921568626,0.5952380952380952,0.20833333333333334,0.25,0.5882352941176471,0.18518518518518517,0.25,0.5882352941176471,0.18484288354898337,0.25252525252525254,0.5847953216374269,1
53,ManCity,Watford,0.722,0.203,0.075,0.7751937984496123,0.15384615384615385,0.09090909090909091,0.819672131147541,0.15384615384615385,0.08,0.7692307692307692,0.18181818181818182,0.10526315789473684,0.78125,0.15625,0.08163265306122448,0.8,0.15384615384615385,0.08333333333333333,0.8,0.15384615384615385,0.07692307692307693,0.78125,0.14925373134328357,0.09090909090909091,0
54,Middlesbrough,Liverpool,0.315,0.19,0.495,0.16666666666666666,0.23094688221709006,0.625,0.16666666666666666,0.24390243902439027,0.6369426751592356,0.18181818181818182,0.25,0.625,0.15432098765432098,0.2336448598130841,0.6329113924050632,0.16666666666666666,0.25,0.625,0.16,0.23255813953488372,0.6369426751592356,0.18083182640144665,0.2557544757033248,0.5847953216374269,1
55,Stoke City,Southampton,0.645,0.26,0.095,0.3225806451612903,0.30303030303030304,0.4,0.3389830508474576,0.30303030303030304,0.4081632653061224,0.3508771929824561,0.3225806451612903,0.3846153846153846,0.303951367781155,0.3076923076923077,0.4081632653061224,0.3125,0.3125,0.4166666666666667,0.3076923076923077,0.3076923076923077,0.4081632653061224,0.30120481927710846,0.29940119760479045,0.42016806722689076,2
56,Sunderland,Chelsea,0.8079999999999999,0.126,0.067,0.1,0.17391304347826086,0.7518796992481203,0.10526315789473684,0.2,0.7462686567164178,0.10526315789473684,0.18181818181818182,0.7692307692307692,0.09569377990430622,0.17482517482517484,0.7518796992481203,0.1111111111111111,0.2,0.7518796992481203,0.09523809523809523,0.18181818181818182,0.7518796992481203,0.13774104683195593,0.22172949002217296,0.6622516556291391,1
57,Tottenham Hotspur,HullCity,0.6,0.307,0.092,0.819672131147541,0.14285714285714285,0.06666666666666667,0.819672131147541,0.15384615384615385,0.07407407407407407,0.8,0.16666666666666666,0.09090909090909091,0.8,0.15151515151515152,0.07142857142857142,0.8,0.16666666666666666,0.07692307692307693,0.8,0.16,0.06666666666666667,0.8130081300813008,0.1400560224089636,0.06896551724137931,0
58,WestBrom,Swansea City,0.637,0.192,0.171,0.48780487804878053,0.2857142857142857,0.25,0.5128205128205129,0.2857142857142857,0.25,0.5,0.29411764705882354,0.2631578947368421,0.4854368932038835,0.2857142857142857,0.24752475247524752,0.48780487804878053,0.30303030303030304,0.25,0.48780487804878053,0.2857142857142857,0.25641025641025644,0.4807692307692307,0.2898550724637681,0.24937655860349128,0
59,WestHam,Burnley,0.425,0.155,0.42,0.5988023952095809,0.25,0.17391304347826086,0.625,0.24390243902439027,0.18181818181818182,0.5882352941176471,0.27027027027027023,0.2,0.6060606060606061,0.24213075060532688,0.1718213058419244,0.5988023952095809,0.2631578947368421,0.18181818181818182,0.6060606060606061,0.24390243902439027,0.17391304347826086,0.6060606060606061,0.25,0.16339869281045752,0
60,Crystal Palace,Chelsea,0.38799999999999996,0.207,0.405,0.15384615384615385,0.23809523809523808,0.6369426751592356,0.16666666666666666,0.24390243902439027,0.6369426751592356,0.15384615384615385,0.23809523809523808,0.6666666666666666,0.17094017094017094,0.23255813953488372,0.6172839506172839,0.15384615384615385,0.26666666666666666,0.6172839506172839,0.17391304347826086,0.23255813953488372,0.6172839506172839,0.14598540145985403,0.2252252252252252,0.6493506493506493,1
61,Middlesbrough,Swansea City,0.266,0.23399999999999999,0.501,0.47619047619047616,0.29411764705882354,0.25,0.48780487804878053,0.29411764705882354,0.26666666666666666,0.47619047619047616,0.29411764705882354,0.2857142857142857,0.48309178743961356,0.29239766081871343,0.24390243902439027,0.47619047619047616,0.30303030303030304,0.26666666666666666,0.48780487804878053,0.29411764705882354,0.24390243902439027,0.4672897196261682,0.3003003003003003,0.25252525252525254,0
62,Stoke City,Leicester City,0.722,0.223,0.055,0.3846153846153846,0.29411764705882354,0.3448275862068966,0.4081632653061224,0.29411764705882354,0.3448275862068966,0.4,0.30303030303030304,0.3508771929824561,0.3861003861003861,0.29850746268656714,0.33557046979865773,0.3846153846153846,0.3125,0.3448275862068966,0.3846153846153846,0.30303030303030304,0.3448275862068966,0.3546099290780142,0.3115264797507788,0.3546099290780142,2
63,Sunderland,Watford,0.7240000000000001,0.18,0.096,0.3802281368821293,0.30303030303030304,0.3448275862068966,0.3921568627450981,0.3125,0.3448275862068966,0.4,0.30303030303030304,0.3508771929824561,0.37453183520599254,0.30959752321981426,0.33670033670033667,0.38167938931297707,0.3125,0.3448275862068966,0.3846153846153846,0.30303030303030304,0.3333333333333333,0.37453183520599254,0.30120481927710846,0.3448275862068966,0
64,WestBrom,ManUtd,0.7070000000000001,0.22699999999999998,0.065,0.17391304347826086,0.2631578947368421,0.5882352941176471,0.19047619047619047,0.2777777777777778,0.5813953488372093,0.20833333333333334,0.2777777777777778,0.5714285714285714,0.18083182640144665,0.26525198938992045,0.5747126436781609,0.18181818181818182,0.2857142857142857,0.5714285714285714,0.17391304347826086,0.2777777777777778,0.5714285714285714,0.1639344262295082,0.25641025641025644,0.5988023952095809,1
